EMPLOYEE_ID,RATINGS_2021,JOB_FAMILY_GROUP,MANAGER_ID,GENDER,TERMINATION_TYPE,STATUS,JOB_PROFILE_NAME,JOB_FAMILY_DESC,WORK_ADDRESS_COUNTRY,engagement_score,risk_score,Promotional_Opportunities,Relationship_with_manager
1199817,Stand Out,Human Resources,1272527,Female,None,Active,Senior Talent Acquisition Consultant,TALENT ACQUISITION,Singapore,19,0.219336196,-9999,-9999
1096930,Off Track,Finance,1210232,Male,None,Active,Senior Auditor I,INTERNAL AUDIT,United Kingdom,30,0.91805946,-9999,-9999
579792,On Track,Finance,849028,Male,None,Active,Senior Leader - FP&A,FINANCIAL PLANNING & ANALYSIS,United States of America,58,0.667496148,-9999,-9999
805777,On Track,Human Resources,644766,Female,None,Active,Expert HR Business Partner,HR BUSINESS PARTNERS,Canada,43,0.130706727,-9999,-9999
1021348,On Track,Information Technology,791354,Male,None,Active,Senior Analyst - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,India,15,0.668907591,-9999,-9999
648536,On Track,Information Technology,588924,Male,None,Active,Lead Specialist - IT Risk Management,IT RISK MANAGEMENT,Canada,75,0.277077543,-9999,-9999
1191814,Stand Out,Finance,1118911,Female,None,Active,Staff Accountant II,GENERAL ACCOUNTING,Poland,8,0.369121551,-9999,-9999
645702,Stand Out,Information Technology,620916,Male,None,Active,Specialist - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United States of America,14,0.468717481,-9999,-9999
1199828,On Track,Finance,796686,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,Mexico,44,0.647374029,-9999,-9999
1199336,On Track,Human Resources,1040544,Female,None,Active,HRSS Operations Associate,HR SHARED SERVICES OPERATIONS,Philippines,98,0.411879586,-9999,-9999
1192016,On Track,Finance,1061183,Female,None,Active,Staff Accountant II,GENERAL ACCOUNTING,Panama,37,0.585969333,-9999,-9999
1109010,Stand Out,Information Technology,1106219,Female,None,Active,IT Business Analysis Specialist,BUSINESS ANALYSIS,United Kingdom,75,0.421062178,-9999,-9999
645857,On Track,Human Resources,1194610,Female,None,Active,HR Manager II,REGIONAL HR,Canada,55,0.384994858,-9999,-9999
645803,Stand Out,Finance,643779,Female,None,Active,Accounting Supervisor,GENERAL ACCOUNTING,United States of America,56,0.427574446,-9999,-9999
1020728,On Track,Real Estate & Facilities,1054483,Male,None,Active,Senior Specialist - Facilities,FACILITIES,India,23,0.276167191,-9999,-9999
806349,Stand Out,Information Technology,867874,Female,None,Active,IT Business Analysis Specialist,BUSINESS ANALYSIS,United Kingdom,72,0.758285721,-9999,-9999
646317,On Track,Information Technology,704685,Female,None,Active,Senior IT Project Manager,IT PROJECT MANAGEMENT,United States of America,7,0.412788257,-9999,-9999
646320,Off Track,Finance,1102107,Male,None,Active,Senior Analyst - Accounting Operations,ACCOUNTING OPERATIONS,United States of America,38,0.894628223,-9999,-9999
1199440,On Track,Finance,855702,Male,None,Active,Senior Leader - FP&A,FINANCIAL PLANNING & ANALYSIS,United Kingdom,77,0.619459839,-9999,-9999
1191990,On Track,Finance,764731,Male,None,Active,Senior Specialist - Financial Controls,FINANCIAL CONTROLS,United Kingdom,49,0.299605313,1,1
646076,On Track,Information Technology,587877,Male,None,Active,Senior Manager - IT Quality Assurance,IT QUALITY & ASSURANCE TESTING,United States of America,10,0.827088566,-9999,-9999
646107,On Track,Information Technology,110949,Male,None,Active,Specialist - Telecommunications,TELECOMMUNICATIONS,United States of America,6,0.470489061,-9999,-9999
581408,Stand Out,Real Estate & Facilities,597773,Male,None,Active,Senior Manager - Facilities,FACILITIES,United States of America,25,0.357120871,-9999,-9999
1192012,Stand Out,Human Resources,1106305,Female,None,Active,Talent Acquisition Consultant,TALENT ACQUISITION,Mexico,65,0.322971266,-9999,-9999
1097681,On Track,Finance,1095537,Female,None,Active,Accountant,GENERAL ACCOUNTING,United Arab Emirates,43,0.402014137,-9999,-9999
580465,On Track,Information Technology,705672,Male,None,Active,Specialist - Systems Administration,SYSTEMS ADMINISTRATION,United States of America,32,0.475250013,-9999,-9999
1097270,On Track,Human Resources,1160965,Female,None,Active,HR Manager,HR BUSINESS PARTNERS,United Kingdom,18,0.38815733,-9999,-9999
1021257,On Track,Information Technology,1020968,Male,None,Active,Specialist - Access Management,ACCESS MANAGEMENT,United Kingdom,54,0.435795363,-9999,-9999
1021258,Stand Out,Information Technology,510501,Male,None,Active,Specialist - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United Kingdom,7,0.349662615,-9999,-9999
648094,Stand Out,Information Technology,813178,Male,None,Active,Leader - IT Management,IT MANAGEMENT,United States of America,38,0.194717513,-9999,-9999
648141,Stand Out,Finance,642488,Female,None,Active,Director - Accounting Operations,ACCOUNTING OPERATIONS,United States of America,15,0.26017659,-9999,-9999
580267,On Track,Office & Business Administration Services,580937,Female,None,Active,Senior Administrative Coordinator,EXECUTIVE/ADMINISTRATIVE ASSISTANTS,United States of America,51,0.436688346,-9999,-9999
1199716,On Track,Information Technology,1038279,Male,None,Active,Senior Analyst - IT Product Support,IT PRODUCT SUPPORT,India,32,0.371778757,-9999,-9999
580269,Stand Out,Information Technology,1106543,Female,None,Active,Senior Manager - IT Messaging,IT MESSAGING OPERATIONS,United States of America,30,0.368020517,-9999,-9999
805984,On Track,Finance,1261882,Male,None,Active,Sub-Region Controller I,GENERAL ACCOUNTING,United Kingdom,89,0.183050612,-9999,-9999
1199687,On Track,Office & Business Administration Services,1172865,Female,None,Active,Administrative Coordinator,EXECUTIVE/ADMINISTRATIVE ASSISTANTS,India,9,0.389812432,-9999,-9999
1098609,Not Rated,Information Technology,1012427,Female,None,Active,Senior IT Business Analysis Specialist,BUSINESS ANALYSIS,Canada,70,0.826613537,-9999,-9999
643182,On Track,Information Technology,1022406,Female,None,Active,Senior Manager - Asset Management,ASSET MANAGEMENT,United States of America,26,0.317770302,-9999,-9999
1011016,On Track,Information Technology,1180570,Male,None,Active,Lead Specialist - IT Systems Engineering,IT SYSTEMS ENGINEERING,United States of America,43,0.307763303,-9999,-9999
643446,On Track,Finance,651579,Female,None,Active,Associate Accountant,GENERAL ACCOUNTING,Canada,28,0.32050004,-9999,-9999
583074,On Track,Information Technology,762339,Female,None,Active,Senior Manager - IT Business Analysis,BUSINESS ANALYSIS,United States of America,6,0.379267834,-9999,-9999
1010683,On Track,Finance,832668,Female,None,Active,Specialist - Finance Business Partner,FP&A-FINANCE BUSINESS PARTNERS,United Kingdom,42,0.394320601,2,-1
1191852,Stand Out,Information Technology,1035472,Female,None,Active,Senior Applications Developer,APPLICATIONS DEVELOPMENT,United States of America,64,0.425830405,-9999,-9999
1098597,Stand Out,Finance,862409,Female,None,Active,Sub-Region Controller I,GENERAL ACCOUNTING,United Kingdom,40,0.273661583,-9999,-9999
1098595,On Track,Human Resources,850234,Female,None,Active,Senior Corporate Social Responsibility Specialist,CORPORATE SOCIAL RESPONSIBILITY,United Kingdom,44,0.227277393,-9999,-9999
643318,On Track,"Legal, Compliance & Risk",580937,Male,None,Active,Assistant General Counsel,ATTORNEYS,United States of America,51,0.279344562,-9999,-9999
580300,On Track,Information Technology,1100759,Male,None,Active,Senior Specialist - Network Engineering,IT NETWORK ENGINEERING,United States of America,53,0.435109294,-9999,-9999
1097008,Stand Out,"Legal, Compliance & Risk",1048772,Male,None,Active,Assistant General Counsel,ATTORNEYS,Singapore,41,0.101181385,-9999,-9999
648787,On Track,Information Technology,1223153,Male,None,Active,Senior Manager - Applications Development,APPLICATIONS DEVELOPMENT,Canada,6,0.643320527,-9999,-9999
1191873,Stand Out,Information Technology,1194247,Male,None,Active,Senior Analyst - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,New Zealand,42,0.406020631,-9999,-9999
647470,On Track,Information Technology,621514,Male,None,Active,Specialist - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United States of America,41,0.459780647,-9999,-9999
1109161,On Track,Information Technology,509499,Male,None,Active,Specialist - IT Product Support,IT PRODUCT SUPPORT,United Kingdom,3,0.453259697,-9999,-9999
647496,On Track,Human Resources,753324,Female,None,Active,Lead Compensation Specialist,COMPENSATION,Canada,70,0.331940151,-9999,-9999
648778,On Track,Information Technology,818546,Male,None,Active,Leader - IT Project Management,IT PROJECT MANAGEMENT,Canada,24,0.254767207,-9999,-9999
648779,Stand Out,Information Technology,1190232,Male,None,Active,Senior Manager - Information Technology,IT MANAGEMENT,Canada,16,0.05056872,-9999,-9999
1199806,On Track,Finance,1008957,Female,None,Active,Associate II - Treasury Accounting,TREASURY ACCOUNTING,Mexico,20,0.489987984,-9999,-9999
813887,On Track,Information Technology,1217301,Male,None,Active,Senior Analyst - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,China,17,0.483846606,-9999,-9999
648733,On Track,Finance,1023675,Female,None,Active,Accounting Supervisor,GENERAL ACCOUNTING,United States of America,31,0.486275226,-9999,-9999
1109152,On Track,Information Technology,1194247,Male,None,Active,Analyst - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United Kingdom,42,0.453300464,-9999,-9999
1097371,On Track,Finance,870150,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,Dominican Republic,65,0.595107559,-9999,-9999
647199,On Track,"Legal, Compliance & Risk",638592,Female,None,Active,Compliance Officer,COMPLIANCE,United States of America,22,0.436957121,-9999,-9999
647110,On Track,Information Technology,873962,Male,None,Active,Senior Specialist - IT Product Management,IT PRODUCT MANAGEMENT,United States of America,4,0.353463834,-9999,-9999
647111,On Track,Finance,1158342,Female,None,Active,Senior Associate - Treasury Accounting,TREASURY ACCOUNTING,United States of America,31,0.598394695,-9999,-9999
580533,On Track,Information Technology,1069171,Male,None,Active,Lead IT Project Manager,IT PROJECT MANAGEMENT,United States of America,41,0.328001581,-9999,-9999
580665,On Track,Information Technology,1013822,Male,None,Active,Senior Analyst - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United States of America,60,0.479414518,-9999,-9999
1199609,On Track,Finance,1178092,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,Malaysia,59,0.395608801,1,1
1021526,On Track,Information Technology,1177570,Male,None,Active,Senior Analyst - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,Malaysia,83,0.568655984,-9999,-9999
1097312,On Track,Information Technology,831051,Male,None,Active,Senior Database Administration Specialist,DATABASE ADMINISTRATION,United Kingdom,39,0.447346678,-9999,-9999
1199660,Not Rated,Information Technology,1175468,Male,None,Active,Manager - IT Project Management,IT PROJECT MANAGEMENT,Singapore,61,-9999,-9999,-9999
1021212,On Track,Information Technology,617607,Male,None,Active,IT Business Analysis Specialist,BUSINESS ANALYSIS,Portugal,67,0.509672886,-9999,-9999
580560,On Track,Information Technology,599248,Male,None,Active,Senior Specialist - IT Product Management,IT PRODUCT MANAGEMENT,United States of America,75,0.47023531,-9999,-9999
1021131,Not Rated,Information Technology,617607,Male,None,Active,Senior IT Business Analysis Specialist,BUSINESS ANALYSIS,Portugal,67,0.836722471,-1,-1
647112,Stand Out,"Legal, Compliance & Risk",1090582,Female,None,Active,Senior Compliance Officer,COMPLIANCE,United States of America,76,0.340243247,-9999,-9999
1010488,Stand Out,Information Technology,1079731,Male,None,Active,Specialist - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,Australia,78,0.397738557,-9999,-9999
645839,On Track,Finance,1029314,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,United States of America,8,0.61250322,-9999,-9999
647176,Stand Out,Information Technology,641251,Female,None,Active,Senior Manager - IT Project Management,IT PROJECT MANAGEMENT,United States of America,99,0.373704022,-9999,-9999
1021142,On Track,"Legal, Compliance & Risk",776646,Male,None,Active,Senior Manager - Compliance,COMPLIANCE,Colombia,46,0.318716703,-9999,-9999
1025315,On Track,Information Technology,1251866,Female,None,Active,Manager - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United States of America,13,0.500055576,-9999,-9999
1190452,Stand Out,Human Resources,1258980,Female,None,Active,Senior HR Manager,REGIONAL HR,Poland,93,0.168655254,-9999,-9999
572528,On Track,Information Technology,1069171,Male,None,Active,Senior IT Business Analysis Specialist,BUSINESS ANALYSIS,United States of America,41,0.337622327,-9999,-9999
671081,Stand Out,Information Technology,712817,Male,None,Active,Senior Leader - IT Management,IT MANAGEMENT,Canada,14,0.084050725,-9999,-9999
1110688,On Track,Finance,1175902,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,China,50,0.504548351,-9999,-9999
1025333,Not Rated,Information Technology,791354,Male,None,Active,Senior Analyst - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,India,15,0.94550614,-9999,-9999
572270,On Track,Information Technology,763367,Male,None,Active,Senior Specialist - IT Systems Engineering,IT SYSTEMS ENGINEERING,United States of America,95,0.482490154,-9999,-9999
1092567,Stand Out,Human Resources,1207049,Female,None,Active,People Partner II,PEOPLE ADVISORY,China,18,0.06931525,-9999,-9999
700170,On Track,Information Technology,1177785,Female,None,Active,Senior Agility Coach,BUSINESS AGILITY,United Kingdom,88,0.386511152,-9999,-9999
700128,On Track,Information Technology,818481,Male,None,Active,Applications Developer,APPLICATIONS DEVELOPMENT,United Kingdom,34,0.791775094,-9999,-9999
1110575,On Track,Information Technology,1207208,Female,None,Active,Senior IT Business Analysis Specialist,BUSINESS ANALYSIS,Australia,24,0.413167,-9999,-9999
1202130,On Track,Information Technology,859676,Male,None,Active,Senior Applications Development Analyst,APPLICATIONS DEVELOPMENT,India,17,0.425323457,-9999,-9999
1110565,On Track,Information Technology,1110227,Female,None,Active,IT Business Analysis Specialist,BUSINESS ANALYSIS,Australia,64,0.431157948,-9999,-9999
1202123,Stand Out,Human Resources,1187955,Male,None,Active,HRSS Operations Associate,HR SHARED SERVICES OPERATIONS,Philippines,97,0.399306508,-9999,-9999
572466,On Track,Finance,1105398,Male,None,Active,Senior Director - Finance Business Partner,FP&A-FINANCE BUSINESS PARTNERS,United States of America,3,0.723952741,-9999,-9999
1092600,On Track,Human Resources,1087307,Male,None,Active,Talent Acquisition Recruiter,TALENT ACQUISITION,Poland,93,0.242330162,-9999,-9999
1110577,On Track,Information Technology,1110227,Male,None,Active,Senior IT Business Analysis Specialist,BUSINESS ANALYSIS,Australia,64,0.449264693,-9999,-9999
1190546,On Track,Finance,1062911,Female,None,Active,Staff Accountant II,GENERAL ACCOUNTING,Mexico,28,0.657991326,-9999,-9999
1202316,On Track,Finance,1150569,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,Malaysia,29,0.248085936,-9999,-9999
669932,On Track,"Legal, Compliance & Risk",1160709,Female,None,Active,Senior Compliance Officer,COMPLIANCE,United States of America,83,0.335960307,-9999,-9999
1025251,On Track,"Legal, Compliance & Risk",1178423,Female,None,Active,Senior Specialist - Corporate Secretariat,CORPORATE SECRETARIAT,United Kingdom,21,0.213275504,-9999,-9999
1201897,Off Track,Finance,1118911,Female,None,Active,Staff Accountant II,GENERAL ACCOUNTING,United Kingdom,8,0.871078051,-9999,-9999
1190633,On Track,Information Technology,1250461,Male,None,Active,Supervisor - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,Russian Federation,93,0.408442159,-9999,-9999
670896,On Track,Information Technology,100234,Male,None,Active,Senior Leader - IT Management,IT MANAGEMENT,Canada,79,0.611769093,-9999,-9999
1110492,On Track,Information Technology,1238182,Male,None,Active,Senior IT Business Analysis Specialist,BUSINESS ANALYSIS,Australia,64,0.385226063,-9999,-9999
1025224,Stand Out,Information Technology,750920,Male,None,Active,Senior Specialist - Operations Storage Management,STORAGE OPERATIONS MANAGEMENT,India,80,0.126529426,-9999,-9999
572660,On Track,Finance,1068473,Male,None,Active,Senior Director - Tax Consulting,TAX CONSULTING,United States of America,21,0.396045913,-9999,-9999
802862,On Track,Information Technology,708171,Male,None,Active,Senior Applications Developer,APPLICATIONS DEVELOPMENT,Australia,95,0.404444672,-9999,-9999
670849,On Track,Information Technology,740143,Male,None,Active,Supervisor - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,Canada,61,0.306570481,-9999,-9999
1190435,On Track,Human Resources,1208842,Male,None,Active,HR Operations Coordinator,HR OPERATIONS,India,56,0.425626608,-9999,-9999
1025259,Stand Out,Finance,873892,Female,None,Active,Leader - FP&A,FINANCIAL PLANNING & ANALYSIS,Singapore,39,0.067262484,-9999,-9999
1110652,On Track,"Legal, Compliance & Risk",1175561,Male,None,Active,Senior Compliance Officer,COMPLIANCE,United Kingdom,21,0.391401215,-9999,-9999
670869,On Track,Information Technology,868033,Male,None,Active,Senior Specialist - IT Product Management,IT PRODUCT MANAGEMENT,Canada,88,0.369678236,-9999,-9999
1202226,On Track,Finance,872546,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,United Arab Emirates,75,0.415951417,-9999,-9999
1097511,On Track,Finance,1158859,Male,None,Active,Staff Accountant I,GENERAL ACCOUNTING,Malaysia,97,0.391254195,-9999,-9999
1097578,On Track,Finance,764517,Female,None,Active,Senior Analyst - Accounting Operations,ACCOUNTING OPERATIONS,Mexico,26,0.357063736,-9999,-9999
646423,On Track,Information Technology,648779,Male,None,Active,Specialist - Systems Administration,SYSTEMS ADMINISTRATION,United States of America,100,0.505433024,-9999,-9999
1097439,On Track,"Legal, Compliance & Risk",789792,Female,None,Active,Compliance Analyst,COMPLIANCE,United States of America,6,0.502738364,-9999,-9999
1199578,On Track,Human Resources,1251951,Female,None,Active,Lead HR Manager I,REGIONAL HR,Singapore,39,0.133091701,-9999,-9999
806163,On Track,"Legal, Compliance & Risk",570436,Female,None,Active,Senior Legal Specialist,PARALEGALS,United States of America,3,0.305756317,-9999,-9999
581155,On Track,"Legal, Compliance & Risk",740844,Female,None,Active,Compliance Officer,COMPLIANCE,United States of America,39,0.500516986,-9999,-9999
1199492,Stand Out,Information Technology,879958,Female,None,Active,Senior Specialist - Digital Visualization and Data Analytics Dev,DIGITAL VISUALIZATION & DATA ANALYTICS DEVELOPMENT,Canada,90,0.504749602,-9999,-9999
1020968,Stand Out,Information Technology,1014974,Male,None,Active,Manager - Access Management,ACCESS MANAGEMENT,United Kingdom,75,0.334690035,-9999,-9999
646382,On Track,Information Technology,645366,Female,None,Active,Manager - IT Product Management,IT PRODUCT MANAGEMENT,United States of America,63,0.456439693,-9999,-9999
580930,On Track,Finance,577004,Male,None,Active,Manager - Financial Reporting,FINANCIAL REPORTING,United States of America,23,0.453992437,-9999,-9999
645840,Stand Out,Finance,1158342,Female,None,Active,Associate II - Treasury Accounting,TREASURY ACCOUNTING,United States of America,31,0.549359819,-9999,-9999
1097801,On Track,Human Resources,863252,Male,None,Active,Lead Compensation Specialist,COMPENSATION,United States of America,3,0.281989982,-9999,-9999
1191915,On Track,Information Technology,1085626,Female,None,Active,Analyst - Change Management,CHANGE MANAGEMENT,India,58,0.375682991,-9999,-9999
806178,Stand Out,Finance,849843,Female,None,Active,Staff Accountant II,GENERAL ACCOUNTING,United States of America,2,0.434781038,-9999,-9999
580937,On Track,"Legal, Compliance & Risk",1022742,Female,None,Active,Associate General Counsel,ATTORNEYS,United States of America,95,0.189012648,-9999,-9999
580905,On Track,Finance,572466,Male,None,Active,Expert - FP&A,FINANCIAL PLANNING & ANALYSIS,United States of America,24,0.454264509,-9999,-9999
647105,Stand Out,Information Technology,816504,Male,None,Active,Senior Manager - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United States of America,77,0.405034215,-9999,-9999
1097419,Stand Out,Human Resources,1122735,Female,None,Active,Lead Compensation Specialist,COMPENSATION,Hong Kong,31,0.131456212,-9999,-9999
1097416,On Track,Information Technology,759484,Female,None,Active,Senior IT Business Analyst,BUSINESS ANALYSIS,Hong Kong,89,0.329330655,-9999,-9999
1020976,Off Track,Finance,1033250,Female,None,Active,Senior Specialist -Finance Business Partner,FP&A-FINANCE BUSINESS PARTNERS,United States of America,39,0.747996455,-9999,-9999
646830,On Track,Information Technology,813178,Male,None,Active,Senior Specialist - IT Audit,IT AUDIT,Canada,38,0.332438325,-9999,-9999
1191909,On Track,Finance,779778,Female,None,Active,Accounting Supervisor,GENERAL ACCOUNTING,Kazakhstan,17,0.382263327,-9999,-9999
1092861,On Track,Client & Customer Services,1151023,Female,None,Active,Senior Assistant I - Fiduciary,FIDUCIARY,Turkey,80,0.293413143,-9999,-9999
572907,On Track,Information Technology,1250691,Male,None,Active,Senior Specialist - IT Systems Engineering,IT SYSTEMS ENGINEERING,United States of America,83,0.444014669,0,1
1025076,On Track,Finance,1174645,Male,None,Active,Senior Specialist -FP&A,FINANCIAL PLANNING & ANALYSIS,United Kingdom,77,0.363329362,1,2
670588,On Track,Information Technology,753922,Male,None,Active,Senior Specialist - Systems Administration,SYSTEMS ADMINISTRATION,Canada,61,0.340039458,-9999,-9999
1190545,On Track,Finance,1212916,Male,None,Active,Staff Accountant I,GENERAL ACCOUNTING,Mexico,17,0.528176893,-9999,-9999
1024973,On Track,Client & Customer Services,1245535,Female,None,Active,Senior Assistant I - Fiduciary,FIDUCIARY,Turkey,40,0.271833255,-9999,-9999
1110574,On Track,Information Technology,1110495,Female,None,Active,Senior Applications Developer,APPLICATIONS DEVELOPMENT,Australia,88,0.430484995,-9999,-9999
1190505,On Track,Information Technology,840616,Male,None,Active,Senior Specialist - IT Product Support,IT PRODUCT SUPPORT,United States of America,19,0.418088901,-9999,-9999
1202182,On Track,Finance,1196400,Male,None,Active,Staff Accountant II,GENERAL ACCOUNTING,United States of America,29,0.411718999,-9999,-9999
581105,On Track,Finance,1120350,Male,None,Active,Lead Specialist - Tax Operations,TAX OPERATIONS,United States of America,15,0.426275746,-9999,-9999
646720,On Track,Information Technology,705425,Male,None,Active,Senior Manager - IT Security Operations,IT SECURITY OPERATIONS,Canada,12,0.14108364,-9999,-9999
1202163,Stand Out,Information Technology,571309,Male,None,Active,Specialist - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United States of America,63,0.384967326,-1,-1
1110594,Stand Out,Human Resources,1167843,Female,None,Active,Learning & Development Specialist,LEARNING & DEVELOPMENT,Australia,46,0.371796219,-9999,-9999
1025087,On Track,Information Technology,873962,Male,None,Active,Senior Specialist - IT Product Management,IT PRODUCT MANAGEMENT,United States of America,4,0.48538278,-9999,-9999
577627,On Track,Information Technology,762098,Male,None,Active,Senior Specialist - Telecommunications,TELECOMMUNICATIONS,United States of America,93,0.443669835,-9999,-9999
1022736,Off Track,Finance,1254020,Female,None,Active,Senior Analyst - Treasury Operations,TREASURY OPERATIONS,Brazil,55,0.517156559,-9999,-9999
1095487,On Track,Human Resources,1087307,Female,None,Active,Talent Acquisition Recruiter,TALENT ACQUISITION,Poland,93,0.242845959,-9999,-9999
655988,On Track,Information Technology,568242,Male,None,Active,Senior IT Project Manager,IT PROJECT MANAGEMENT,United States of America,96,0.414607015,-9999,-9999
1022742,Stand Out,"Legal, Compliance & Risk",845596,Female,None,Active,OpCo General Counsel,LEGAL MANAGEMENT,United States of America,80,0.622621843,-9999,-9999
656220,Stand Out,Finance,765751,Male,None,Active,Specialist - Accounting Operations,ACCOUNTING OPERATIONS,United States of America,68,0.285919396,-9999,-9999
1200570,Stand Out,Information Technology,568950,Male,None,Active,Database Administration Specialist,DATABASE ADMINISTRATION,United States of America,33,0.609801794,-9999,-9999
1200568,Not Rated,Finance,878680,Male,None,Active,Analyst - Tax Operations,TAX OPERATIONS,Brazil,17,0.961332811,-9999,-9999
577444,On Track,Human Resources,578669,Female,None,Active,Senior Talent and Learning (Hybrid) Manager,TALENT & LEARNING (HYBRID),United States of America,90,0.315423353,-9999,-9999
1191340,On Track,Information Technology,1009046,Female,None,Active,Senior Analyst - IT Systems Engineering,IT SYSTEMS ENGINEERING,India,68,0.426309645,-9999,-9999
1095461,On Track,Finance,1106599,Male,None,Active,Director - Tax Advisory,TAX ADVISORY,Singapore,37,0.753301624,-9999,-9999
1191448,On Track,Finance,578249,Female,None,Active,Manager - Tax Operations,TAX OPERATIONS,United States of America,46,0.361393096,-9999,-9999
1022448,On Track,Information Technology,1025677,Male,None,Active,Manager - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,South Africa,9,0.35915231,-9999,-9999
805147,On Track,Finance,709875,Male,None,Active,Staff Accountant I,GENERAL ACCOUNTING,Brazil,46,0.44556069,-9999,-9999
1022391,On Track,Finance,1072844,Male,None,Active,Accountant,GENERAL ACCOUNTING,Singapore,18,0.382519566,-9999,-9999
1200354,Not Rated,Finance,1081814,Male,None,Active,Senior Analyst - Tax Operations,TAX OPERATIONS,Mexico,92,0.933119803,-9999,-9999
654432,Stand Out,Sales & Client / Carrier Relationship Management,833744,Male,None,Active,Senior Expert - Business Development - Internal,BUSINESS DEVELOPMENT - INTERNAL,United States of America,94,0.264613207,-9999,-9999
1009780,On Track,Information Technology,762339,Male,None,Active,Director - Change Management,CHANGE MANAGEMENT,United States of America,6,0.656299074,-9999,-9999
814173,On Track,Information Technology,868975,Male,None,Active,Solutions Architecture Specialist,SYSTEMS ARCHITECTURE - SOLUTIONS,United Kingdom,74,0.236491365,-9999,-9999
1200381,On Track,Information Technology,1177741,Male,None,Active,IT Business Analysis Specialist,BUSINESS ANALYSIS,Canada,89,0.519071351,-9999,-9999
1108867,On Track,Information Technology,1106219,Female,None,Active,IT Business Analysis Specialist,BUSINESS ANALYSIS,United Kingdom,75,0.450284438,-9999,-9999
644594,On Track,Information Technology,617733,Male,None,Active,Senior Telecommunications Analyst,TELECOMMUNICATIONS,United States of America,5,0.47231236,-9999,-9999
577688,Stand Out,Information Technology,586659,Female,None,Active,Lead IT Business Analysis Specialist,BUSINESS ANALYSIS,United States of America,75,0.306468639,-9999,-9999
